city,region,country,snapshot,listings_total,eligible,above_superhost,pct_above_superhost,above_guest_favorite,buffer_zero,pct_zero_buffer_of_above,buffer_one_or_less,pct_one_or_less_of_above,median_buffer,within_5_of_superhost,url
jersey-city,nj,united-states,2026-06-27,2320,1196,666,55.7,411,285,42.8,453,68.0,1,56,https://data.insideairbnb.com/united-states/nj/jersey-city/2026-06-27/data/listings.csv.gz
los-angeles,ca,united-states,2026-06-15,43751,19907,13795,69.3,8780,5357,38.8,8293,60.1,1,896,https://data.insideairbnb.com/united-states/ca/los-angeles/2026-06-15/data/listings.csv.gz
nashville,tn,united-states,2026-06-26,10242,6724,5208,77.5,3509,1447,27.8,2422,46.5,2,204,https://data.insideairbnb.com/united-states/tn/nashville/2026-06-26/data/listings.csv.gz
new-orleans,la,united-states,2026-06-16,7189,4523,3077,68.0,1967,896,29.1,1479,48.1,2,144,https://data.insideairbnb.com/united-states/la/new-orleans/2026-06-16/data/listings.csv.gz
new-york-city,ny,united-states,2026-06-14,30259,12102,6829,56.4,3964,3279,48.0,4712,69.0,1,650,https://data.insideairbnb.com/united-states/ny/new-york-city/2026-06-14/data/listings.csv.gz
newark,nj,united-states,2026-06-30,2019,1064,462,43.4,212,228,49.4,352,76.2,1,57,https://data.insideairbnb.com/united-states/nj/newark/2026-06-30/data/listings.csv.gz
oakland,ca,united-states,2026-06-27,2151,1278,912,71.4,589,353,38.7,527,57.8,1,43,https://data.insideairbnb.com/united-states/ca/oakland/2026-06-27/data/listings.csv.gz
pacific-grove,ca,united-states,2026-06-14,269,153,118,77.1,75,39,33.1,67,56.8,1,10,https://data.insideairbnb.com/united-states/ca/pacific-grove/2026-06-14/data/listings.csv.gz
portland,or,united-states,2026-06-15,4199,2874,2434,84.7,1704,542,22.3,901,37.0,3,77,https://data.insideairbnb.com/united-states/or/portland/2026-06-15/data/listings.csv.gz
rhode-island,ri,united-states,2026-06-30,6031,3462,2697,77.9,1887,892,33.1,1530,56.7,1,123,https://data.insideairbnb.com/united-states/ri/rhode-island/2026-06-30/data/listings.csv.gz
rochester,ny,united-states,2026-06-27,1055,573,422,73.6,264,155,36.7,233,55.2,1,24,https://data.insideairbnb.com/united-states/ny/rochester/2026-06-27/data/listings.csv.gz
salem-or,or,united-states,2026-06-28,349,190,164,86.3,126,50,30.5,79,48.2,2,9,https://data.insideairbnb.com/united-states/or/salem-or/2026-06-28/data/listings.csv.gz
san-diego,ca,united-states,2026-06-27,13225,8231,5875,71.4,3730,1798,30.6,3026,51.5,1,326,https://data.insideairbnb.com/united-states/ca/san-diego/2026-06-27/data/listings.csv.gz
san-francisco,ca,united-states,2026-06-14,7332,3592,2613,72.7,1725,975,37.3,1457,55.8,1,116,https://data.insideairbnb.com/united-states/ca/san-francisco/2026-06-14/data/listings.csv.gz
san-mateo-county,ca,united-states,2026-06-27,3347,1858,1335,71.9,837,435,32.6,701,52.5,1,78,https://data.insideairbnb.com/united-states/ca/san-mateo-county/2026-06-27/data/listings.csv.gz
santa-clara-county,ca,united-states,2026-06-28,6891,3534,2426,68.6,1539,981,40.4,1517,62.5,1,174,https://data.insideairbnb.com/united-states/ca/santa-clara-county/2026-06-28/data/listings.csv.gz
santa-cruz-county,ca,united-states,2026-06-30,1795,1278,972,76.1,619,285,29.3,441,45.4,2,44,https://data.insideairbnb.com/united-states/ca/santa-cruz-county/2026-06-30/data/listings.csv.gz
seattle,wa,united-states,2026-06-15,7769,4928,3814,77.4,2605,996,26.1,1736,45.5,2,143,https://data.insideairbnb.com/united-states/wa/seattle/2026-06-15/data/listings.csv.gz
twin-cities-msa,mn,united-states,2026-06-27,5349,3482,2689,77.2,1864,883,32.8,1437,53.4,1,152,https://data.insideairbnb.com/united-states/mn/twin-cities-msa/2026-06-27/data/listings.csv.gz
washington-dc,dc,united-states,2026-06-24,6945,4083,2564,62.8,1505,808,31.5,1277,49.8,2,173,https://data.insideairbnb.com/united-states/dc/washington-dc/2026-06-24/data/listings.csv.gz
